nickname,title,description,url
MoModel,2021年最完整的人工智能入门指南,这可能是一份中英文世界最好的人工智能学习教程，在充分考虑大家信息获取难度的情况下制定了帮助你掌握人工智能（AI）和机器学习（ML）的完整指南：无需专业背景！无需学费！ 无需额外的时间成本！ 只需要掌握以下的...,"https://blog.csdn.net/weixin_44015907/article/details/120700692?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667874884%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=165774026316781667874884&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-1-120700692-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
Li-Yongjun,人工智能 —— 知识图谱,人工智能   ML Machine Learning [məˈʃi:n ˈlə:niŋ] 机器学习   DL Deep Learning [diːp ˈlə:niŋ] 深度学习   CV Computer Vision [kəmˈpju:tə ˈviʒən] 计算机视觉   NLP Natural Language ...,"https://blog.csdn.net/lyndon_li/article/details/119852064?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667874884%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=165774026316781667874884&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_positive~default-2-119852064-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
,浅谈人工智能（AI）,人工智能、机器学习、深度学习的关系 近些年人工智能、机器学习和深度学习的概念十分火热，但很多从业者却很难说清它们之间的关系，外行人更是雾里看花。在研究深度学习之前，我们先从三个概念的正本清源开始。 概括...,"https://blog.csdn.net/shuai809853150/article/details/118940216?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667874884%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=165774026316781667874884&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_click~default-3-118940216-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
柒姑娘哦,人工智能概述,1. 人工智能概述  2. 人工智能的技术领域与应用领域  3. 华为人工智能发展战略  4. 人工智能的争议  5. 人工智能的未来展望,"https://blog.csdn.net/qq_46344220/article/details/120981338?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667874884%2522%252C%2522scm%2522%253A%252220140713.130102334..%2522%257D&request_id=165774026316781667874884&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~all~top_click~default-4-120981338-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
恒州博智QYResearch咨询,产业研究报告：人工智能（AI）服务市场现状及未来发展趋势,2022-2028全球与中国人工智能（AI）服务市场现状及未来发展趋势 本文重点分析在全球及中国有重要角色的企业，分析这些企业人工智能（AI）服务产品的市场规模、市场份额、市场定位、产品类型以及发展规划等。 本文...,"https://blog.csdn.net/QYR_ESEARCH/article/details/123662883?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-5-123662883-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
ThisAmy,AI算法工程师 | 01人工智能基础-快速入门,站在互联网的角度理解人工智能：人工智能AI（artificial intelligence）是互联网时代发展的必然趋势。,"https://blog.csdn.net/ThisAmy/article/details/124153506?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-6-124153506-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
Calvin.AIAS,人工智能AI系列 - 问答系统,问答系统是人工智能和自然语言处理领域中一个倍受关注并具有广泛发展前景的研究方向。  文本搜索引擎  本例子基于文本搜索引擎，支持上传csv文件，使用句向量模型提取特征，并基于milvus向量引擎进行后续检索。    ...,"https://blog.csdn.net/weixin_39355136/article/details/122068824?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-7-122068824-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
溜_x_i_a_o_迪,人工智能和AI到底是什么？？浅谈人工智能和AI,我们正处于AI时代：衣食住行中的AI什么是人工智能？AI对传统行业的冲击AI对广告行业和媒体行业的冲击AI对教育行业的影响AI对艺术创作行业的影响AI对物流行业和工业行业的影响 我们每天所谈论的人工智能，究竟是什么...,"https://blog.csdn.net/u013946061/article/details/106948771?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-8-106948771-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
weixin_26632369,ai人工智能让女神_让女孩进入人工智能管道,ai人工智能让女神 缩小女孩的想象力差距 (Closing the Imagination Gap for Girls) The term artificial intelligence (AI) was coined 64 years ago at a scholarly conference. The AI field hasn’t remained the...,"https://blog.csdn.net/weixin_26632369/article/details/108174665?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-9-108174665-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
可爱的喵酱丶,人工智能(AI)测试方法,人工智能（AI）是研究、开发用于模拟、延伸和扩展人的智能的理论、方法、技术及应用系统的一门新的技术科学（定义）。人工智能利用机器学习技术，通过对现有的经过处理（筛选、消噪、过滤等）的数据，不断进行矫正...,"https://blog.csdn.net/aasdad1/article/details/106080949?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-10-106080949-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
一个处女座的程序猿,AI： 2021 年人工智能前沿科技报告(更新中……),AI： 2021 年人工智能前沿科技报告(更新中……)1. 信息模型、具身模型和脑模拟机器人的结合将诞生超级人工智能。2. 系统研究超大规模智能模型发展和影响的新兴领域已经形成，超大规模预训练模型研发竞赛进入白热化...,"https://blog.csdn.net/qq_41185868/article/details/125476329?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-11-125476329-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
咸鱼箘,人工智能分级,人工智能分级 兄弟姐妹萌ლ(′◉❥◉｀ლ)，我老咸鱼又回来了！。,"https://blog.csdn.net/weixin_45020839/article/details/123664037?ops_request_misc=%257B%2522request%255Fid%2522%253A%2522165774026316781667867413%2522%252C%2522scm%2522%253A%252220140713.130102334.pc%255Fblog.%2522%257D&request_id=165774026316781667867413&biz_id=0&utm_medium=distribute.pc_search_result.none-task-blog-2~blog~first_rank_ecpm_v1~rank_v31_ecpm-12-123664037-null-null.142^v32^control,185^v2^control&utm_term=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD"
